diff: sumEstimationErrorBF             hardCalc       smallerPrimeBF        biggerPrimeBF diff
diff:             0.054690     903567070.054767    3241780981.945272    4145348052.000038 -226743991
diff:             0.272660     903567068.272747    3241780982.727297    4145348051.000043 -1130311060
diff:             0.490630     903567066.490731    3241780983.509319    4145348050.000051 -2033878127
diff:             0.708600     903567064.708712    3241780984.291344    4145348049.000056 1207902857
diff:             0.926570     903567062.926696    3241780985.073367    4145348048.000063 304335793
diff:             1.144540     903567061.144676    3241780985.855392    4145348047.000068 -599231269
diff:             1.362510     903567059.362661    3241780986.637415    4145348046.000075 -1502798329
diff:             1.580480     903567057.580641    3241780987.419439    4145348045.000081 1738982658
diff:             1.798450     903567055.798621    3241780988.201464    4145348044.000086 835415601
diff:             2.016420     903567054.016606    3241780988.983487    4145348043.000093 -68151454
diff:             2.234390     903567052.234586    3241780989.765512    4145348042.000098 -971718507
diff:             2.452360     903567050.452571    3241780990.547535    4145348041.000105 -1875285558
diff:             2.670330     903567048.670551    3241780991.329560    4145348040.000110 1366495433
diff:             2.888300     903567046.888535    3241780992.111582    4145348039.000118 462928385
diff:             3.106270     903567045.106515    3241780992.893607    4145348038.000123 -440638661
diff:             3.324240     903567043.324500    3241780993.675630    4145348037.000130 -1344205705
diff:             3.542210     903567041.542480    3241780994.457655    4145348036.000135 1897575289
diff:             3.760180     903567039.760465    3241780995.239678    4145348035.000142 994008248
diff:             3.978150     903567037.978445    3241780996.021703    4145348034.000147 90441209
diff:             4.196120     903567036.196429    3241780996.803725    4145348033.000155 -813125828
diff:             4.414090     903567034.414409    3241780997.585750    4145348032.000160 -1716692863
diff:             4.632060     903567032.632394    3241780998.367773    4145348031.000167 1525088135
diff:             4.850030     903567030.850374    3241780999.149798    4145348030.000172 621521103
diff:             5.068000     903567029.068359    3241780999.931821    4145348029.000179 -282045927
diff:             5.285970     903567027.286339    3241781000.713846    4145348028.000184 -1185612955
diff:             5.503940     903567025.504323    3241781001.495868    4145348027.000192 2056168046
diff:             5.721910     903567023.722303    3241781002.277893    4145348026.000197 1152601021
diff:             5.939880     903567021.940288    3241781003.059916    4145348025.000204 249033998
diff:             6.157850     903567020.158268    3241781003.841941    4145348024.000209 -654533023
diff:             6.375820     903567018.376248    3241781004.623966    4145348023.000214 -1558100042
diff:             6.593790     903567016.594233    3241781005.405989    4145348022.000221 1683680963
diff:             6.811760     903567014.812213    3241781006.188014    4145348021.000226 780113947
diff:             7.029730     903567013.030197    3241781006.970036    4145348020.000234 -123453067
diff:             7.247700     903567011.248177    3241781007.752061    4145348019.000239 -1027020079
diff:             7.465670     903567009.466162    3241781008.534084    4145348018.000246 -1930587089
diff:             7.683640     903567007.684142    3241781009.316109    4145348017.000251 1311193920
diff:             7.901610     903567005.902126    3241781010.098132    4145348016.000258 407626913
diff:             8.119580     903567004.120106    3241781010.880157    4145348015.000263 -495940092
diff:             8.337550     903567002.338091    3241781011.662179    4145348014.000271 -1399507095
diff:             8.555520     903567000.556071    3241781012.444204    4145348013.000276 1842273917
diff:             8.773490     903566998.774055    3241781013.226227    4145348012.000283 938706917
diff:             8.991460     903566996.992036    3241781014.008252    4145348011.000288 35139919
diff:             9.209430     903566995.210020    3241781014.790275    4145348010.000295 -868427077
diff:             9.427400     903566993.428000    3241781015.572300    4145348009.000300 -1771994071
diff:             9.645370     903566991.645985    3241781016.354323    4145348008.000307 1469786945
diff:             9.863340     903566989.863965    3241781017.136348    4145348007.000312 566219954
Stopping due to reaching maximumum value
